"fdc_id","data_type","description","food_category_id","publication_date"
"1105904","branded_food","WESSON Vegetable Oil 1 GAL","","2020-11-13"
"1105905","branded_food","SWANSON BROTH BEEF","","2020-11-13"
"1105906","branded_food","CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER","","2020-11-13"
"1105907","branded_food","CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI","","2020-11-13"
"1105898","experimental_food","Discrepancy between the Atwater factor predicted and empirically measured energy values of almonds in human diets","","2020-10-30"
"1105899","experimental_food","Food processing and structure impact the metabolizable energy of almonds","","2020-10-30"
"1105900","experimental_food","Metabolizable Energy from Cashew Nuts is Less than that Predicted by Atwater Factors","","2020-10-30"
"1105901","experimental_food","Measured energy value of pistachios in the human diet","","2020-10-30"
"1105902","experimental_food","Walnuts Consumed by ""Healthy Adults"" Provide Less Available Energy than Predicted by the Atwater Factors","","2020-10-30"
"1105908","branded_food","SWANSON BROTH CHICKEN","","2020-11-13"
"1105909","branded_food","CAMPBELL'S SOUP BEAN AND HAM","","2020-11-13"
"1105910","branded_food","SWANSON BROTH BEEF","","2020-11-13"
"1105911","branded_food","PREGO SAUCES TOMATO BASIL","","2020-11-13"
"1105912","branded_food","CAMPBELL'S SOUP TOMATO","","2020-11-13"
"1105903","experimental_food","Wild Turkey, White and Dark Meat, Raw and Roasted","","2020-10-30"
"1105913","branded_food","CAMPBELL'S PASTA SPAGHETTIOS W FRANKS","","2020-11-13"
"388484","branded_food","PEANUT BUTTER","","2019-04-01"
"388485","branded_food","COFFEE CREAMER","","2019-04-01"
"388486","branded_food","CREAMY PEANUT BUTTER","","2019-04-01"
"388487","branded_food","RASPBERRY DELIGHT","","2019-04-01"
"388488","branded_food","SCHNUCKS, CRUNCHY PEANUT BUTTER","","2019-04-01"
"388489","branded_food","COFFEE CREAMER","","2019-04-01"
"388490","branded_food","IODIZED SALT & PEPPER","","2019-04-01"
"388491","branded_food","SEVILLE ORANGE MARMALADE","","2019-04-01"
"388492","branded_food","RED RASPBERRY PRESERVES","","2019-04-01"
"388493","branded_food","CRUNCHY PEANUT BUTTER","","2019-04-01"
"388494","branded_food","STRAWBERRY PRESERVES","","2019-04-01"
"388495","branded_food","POLANER, SPREADABLE FRUIT, APRICOT","","2019-04-01"
"388496","branded_food","PLUM DELIGHT","","2019-04-01"
"388497","branded_food","PEACH DELIGHT","","2019-04-01"
"626174","branded_food",", ITALIAN RECIPE","","2019-12-06"
"388498","branded_food","STRAWBERRY DELIGHT","","2019-04-01"
"388499","branded_food","POLANER, ALL FRUIT, FRUIT SPREAD, SEEDLESS BLACKBERRY","","2019-04-01"
"388500","branded_food","POLANER, ALL SPREADABLE FRUIT, CONCORD GRAPE","","2019-04-01"
"388501","branded_food","SHIRO MISO AGED & FERMENTED RICE & SOYBEANS","","2019-04-01"
"388502","branded_food","BREAD CRUMBS","","2019-04-01"
"388503","branded_food","LIGHTLY SMOKED PORTUGUESE SARDINES IN EXTRA VIRGIN OLIVE OIL","","2019-04-01"
"388504","branded_food","TERIYAKI SAUCE","","2019-04-01"
"388505","branded_food","MORINAGA, MORI-NU, ORGANIC FIRM SILKEN TOFU","","2019-04-01"
"620946","branded_food",", TIKKA MASALA","","2019-12-06"
